"scenario_id","scenario_name","carbon_tax","_objective_renovation","sub_heat","_success_objective_renovation","learning_rate_heat","_realization_rate_renovation"
"1","S1","","","","","constant","0.75"
"2","S2","EUETS","","","","constant","0.75"
"3","S3","social","","","","constant","0.75"
"4","S4","","renovation","","","constant","0.75"
"5","S5","EUETS","renovation","","","constant","0.75"
"6","S6","social","renovation","","","constant","0.75"
"7","S7","","deep_renovation","","","constant","0.75"
"8","S8","EUETS","deep_renovation","","","constant","0.75"
"9","S9","social","deep_renovation","","","constant","0.75"
"10","S10","","","carbon","","constant","0.75"
"11","S11","EUETS","","carbon","","constant","0.75"
"12","S12","social","","carbon","","constant","0.75"
"13","S13","","renovation","carbon","","constant","0.75"
"14","S14","EUETS","renovation","carbon","","constant","0.75"
"15","S15","social","renovation","carbon","","constant","0.75"
"16","S16","","deep_renovation","carbon","","constant","0.75"
"17","S17","EUETS","deep_renovation","carbon","","constant","0.75"
"18","S18","social","deep_renovation","carbon","","constant","0.75"
"19","S19","","renovation","","0.5","constant","0.75"
"20","S20","EUETS","renovation","","0.5","constant","0.75"
"21","S21","social","renovation","","0.5","constant","0.75"
"22","S22","","deep_renovation","","0.5","constant","0.75"
"23","S23","EUETS","deep_renovation","","0.5","constant","0.75"
"24","S24","social","deep_renovation","","0.5","constant","0.75"
"25","S25","","renovation","carbon","0.5","constant","0.75"
"26","S26","EUETS","renovation","carbon","0.5","constant","0.75"
"27","S27","social","renovation","carbon","0.5","constant","0.75"
"28","S28","","deep_renovation","carbon","0.5","constant","0.75"
"29","S29","EUETS","deep_renovation","carbon","0.5","constant","0.75"
"30","S30","social","deep_renovation","carbon","0.5","constant","0.75"
"31","S31","","","","","","0.75"
"32","S32","EUETS","","","","","0.75"
"33","S33","social","","","","","0.75"
"34","S34","","renovation","","","","0.75"
"35","S35","EUETS","renovation","","","","0.75"
"36","S36","social","renovation","","","","0.75"
"37","S37","","deep_renovation","","","","0.75"
"38","S38","EUETS","deep_renovation","","","","0.75"
"39","S39","social","deep_renovation","","","","0.75"
