"region_bld","scenario_name"
"C-WEU-AUT","S4"
"C-WEU-BEL","S55"
"C-EEU-BGR","S181"
"C-WEU-HRV","S181"
"C-WEU-CYP","S4"
"C-EEU-CZE","S181"
"C-WEU-DNK","S4"
"C-EEU-EST","S181"
"C-WEU-FIN","S4"
"C-WEU-FRA","S7"
"C-WEU-DEU","S4"
"C-WEU-GRC","S4"
"C-EEU-HUN","S55"
"C-WEU-IRL","S4"
"C-WEU-ITA","S7"
"C-EEU-LVA","S7"
"C-EEU-LTU","S181"
"C-WEU-LUX","S7"
"C-WEU-MLT","S189"
"C-WEU-NLD","S4"
"C-EEU-POL","S181"
"C-WEU-PRT","S7"
"C-EEU-ROU","S181"
"C-EEU-SVK","S55"
"C-EEU-SVN","S181"
"C-WEU-ESP","S181"
"C-WEU-SWE","S4"
