scenario_id,scenario_name,income,energy_prices_projections,subsidies_renovation,_subsidies_renovation_type,_objective_renovation,subsidies_renovation_target,sub_heat,_sub_heat_type,carbon_tax,_carbon_tax_recycling,_sh_recycling_subsidies,_sh_recycling_rebates,_recycling_rebates,ban_fuel,_mandatory_switch,learning_rate_heat,learning_rate_shell,_realization_rate_renovation,_remove_barriers_renovation,_remove_barriers_heater,parameters_heater,_elasticity_renovation,_elasticity_heat_pump
1,EU,,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
2,EU_carbon_tax_low,,,,,,,,,EUETSII,,,,,,,constant,constant,0.5,,,,,
3,EU_carbon_tax,,,,,,,,,EUETS,,,,,,,constant,constant,0.5,,,,,
4,EU_carbon_tax_social,,,,,,,,,social,,,,,,,constant,constant,0.5,,,,,
5,EU_carbon_tax_rebates,,,,,,,,,EUETS,,,1,low_income,,,constant,constant,0.5,,,,,
6,EU_hp_subsidies,,,,,,,carbon,per_CO2,,,,,,,,constant,constant,0.5,,,,,
7,EU_hp_high_elasticity,,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
8,EU_hp_learning,,,,,,,,,,,,,,,,,constant,0.5,,,,,
9,EU_barriers_heater,,,,,,,,,,,,,,,,constant,constant,0.5,,TRUE,,,
10,EU_reno_endo,,,,per_kWh,renovation_endogenous,,,,,,,,,,,constant,constant,0.5,,,,,
11,EU_deep_reno_endo,,,,per_kWh,deep_renovation_endogenous,,,,,,,,,,,constant,constant,0.5,,,,,
12,EU_barriers_renovation,,,,,,,,,,,,,,,,constant,constant,0.5,TRUE,,,,
13,EU_realization_rate,,,,,,,,,,,,,,,,constant,constant,1,,,,,
10,EU_reno,,,,per_kWh,renovation,,,,,,,,,,,constant,constant,0.5,,,,,
11,EU_deep_reno,,,,per_kWh,deep_renovation,,,,,,,,,,,constant,constant,0.5,,,,,
