scenario_id,scenario_name,income,energy_prices_projections,carbon_market,emission_factors,subsidies_renovation,_subsidies_renovation_type,_objective_renovation,objectives_renovation,subsidies_renovation_target,sub_heat,_sub_heat_type,carbon_tax,_carbon_tax_recycling,_sh_recycling_subsidies,_sh_recycling_rebates,_recycling_rebates,ban_fuel,_mandatory_switch,learning_rate_heat,learning_rate_shell,_realization_rate_renovation,_remove_barriers_renovation,_remove_barriers_heater,parameters_heater,_elasticity_renovation,_elasticity_heat_pump
1,EU,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
2,EU_carbon_tax_low,,,EUETS,EUETS,,,,,,,,EUETSII,,,,,,,constant,constant,0.5,,,,,
3,EU_carbon_tax,,,EUETS,EUETS,,,,,,,,EUETS,,,,,,,constant,constant,0.5,,,,,
4,EU_carbon_tax_social,,,EUETS,EUETS,,,,,,,,social,,,,,,,constant,constant,0.5,,,,,
5,EU_carbon_tax_rebates,,,EUETS,EUETS,,,,,,,,EUETS,,,1,low_income,,,constant,constant,0.5,,,,,
6,EU_hp_subsidies,,,EUETS,EUETS,,,,,,carbon,per_CO2,,,,,,,,constant,constant,0.5,,,,,
7,EU_hp_high_elasticity,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
8,EU_hp_learning,,,EUETS,EUETS,,,,,,,,,,,,,,,,constant,0.5,,,,,
9,EU_barriers_heater,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,,TRUE,,,
10,EU_reno,,,EUETS,EUETS,,per_kWh,renovation,EU,,,,,,,,,,,constant,constant,0.5,,,,,
11,EU_deep_reno,,,EUETS,EUETS,,per_kWh,deep_renovation_endogenous,EU,,,,,,,,,,,constant,constant,0.5,,,,,
12,EU_barriers_renovation,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,TRUE,,,,
13,EU_realization_rate,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,1,,,,,
14,EU_no_learning,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
15,EU_low_realization_rate,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,0.5,,,,,
16,EU_no_barriers,,,EUETS,EUETS,,,,,,,,,,,,,,,constant,constant,,TRUE,,,,
