scenario_id,scenario_name,_objective_renovation,sub_heat,learning_rate_heat,_success_objective_renovation,_realization_rate_renovation,_remove_barriers_renovation,eff_heat ,_short_term_price_elasticity,cost_invest_ren_shell,_elasticity_renovation
1,EU,,,constant,0.5,1,FALSE,,,,
2,EU_reno,deep_renovation,,constant,0.5,1,FALSE,,,,
3,EU_effhp,,,constant,0.5,1,FALSE,hp_high,,,
4,EU_effhp_reno,deep_renovation,,constant,0.5,1,FALSE,hp_high,,,
5,EU_priceelaslow,,,constant,0.5,1,FALSE,,-0.15,,
6,EU_priceelaslow_reno,deep_renovation,,constant,0.5,1,FALSE,,-0.15,,
7,EU_costlow,,,constant,0.5,1,FALSE,,,low,
8,EU_costlow_reno,deep_renovation,,constant,0.5,1,FALSE,,,low,
9,EU_priceelaslow,,,constant,0.5,1,FALSE,,-0.25,,
10,EU_priceelaslow_reno,deep_renovation,,constant,0.5,1,FALSE,,-0.25,,
13,EU_elasrenohigh,,,constant,0.5,1,FALSE,,,,-1.2
14,EU_elasrenohigh_reno,deep_renovation,,constant,0.5,1,FALSE,,,,-1.2
15,EU_nobarriers,,,constant,0.5,1,TRUE,,,,
16,EU_nobarriers_reno,deep_renovation,,constant,0.5,1,TRUE,,,,
,EU_priceelaslow,,,constant,0.5,1,FALSE,,-0.15,,
,EU_priceelaslow_reno,deep_renovation,,constant,0.5,1,FALSE,,-0.15,,
,EU_priceelashigh,,,constant,0.5,1,FALSE,,-0.25,,
,EU_priceelashigh_reno,deep_renovation,,constant,0.5,1,FALSE,,-0.25,,
,EU_elasrenohigh,,,constant,0.5,1,FALSE,,,,-1.2
,EU_elasrenohigh_reno,deep_renovation,,constant,0.5,1,FALSE,,,,-1.2
,EU_elasrenolow,,,constant,0.5,1,FALSE,,,,-0.8
,EU_elasrenolow_reno,deep_renovation,,constant,0.5,1,FALSE,,,,-0.8
